rank,country,aisi_score_v2,aisi_score_v2_raw,data_coverage_v2,dims_scored_v2,dim_research_capacity,dim_innovation_output,dim_commercial_ecosystem,dim_hardware_sovereignty,dim_collaboration_network,dim_talent_base
22,Israel,36.934062705272304,36.934062705272304,1.0,6,49.08518523406229,70.82305256253531,37.40368706545744,11.383333333333335,50.80389342909876,0.0
23,Norway,36.6857370761024,54.75483145686925,0.67,4,44.275960301057715,65.04219447010449,54.943783046321336,0.0,62.995970701203994,
24,Belgium,36.62621469610697,54.66599208374174,0.67,4,42.2241831094222,59.34897248674738,61.400109820562975,0.0,62.92110407791406,
25,Turkey,36.44203740229703,54.39110060044333,0.67,4,41.03628283489638,71.03997686719842,52.20879464457487,0.0,62.818490414352766,
26,Malaysia,36.22548094896785,40.25053438774206,0.9,5,42.09331559565492,71.21212320773624,45.836044003923675,2.945416666666666,67.70787652669418,
27,New Zealand,35.76742381246604,53.3842146454717,0.67,4,40.47875573102489,69.46289477693975,56.48868468814745,0.0,38.62531720797947,
28,Poland,35.69274123827195,53.2727481168238,0.67,4,39.603170428653776,71.65789702976896,50.19117546748656,0.0,60.791273515253266,
29,Mexico,34.592891071073275,51.63118070309444,0.67,4,33.47896274131228,76.71554068407993,51.53824607145934,0.0,41.6061561825826,
30,Russia,34.31516693067519,51.216667060709234,0.67,4,33.508996186369025,79.65297255099915,43.9952208806548,0.0,58.534082335002026,
31,Portugal,33.88832396394134,50.57958800588259,0.67,4,38.9762746024265,63.02979430888127,51.401694936387,0.0,53.196153796074896,
32,Denmark,33.23273298071148,43.15939348144348,0.77,5,44.35268979610991,71.71768701918552,29.441406332379643,0.0,56.49856981800235,12.639196780902695
33,South Africa,33.162127981451924,49.495713405152124,0.67,4,42.063021818397154,59.154984776340754,51.74781196464142,0.0,37.516945788842065,
34,Greece,32.76709845723405,48.90611710034932,0.67,4,41.76162300024667,56.70696974941407,48.824672757648266,0.0,52.61717671205258,
35,Hungary,32.34662896580682,35.94069885089647,0.9,5,35.11187813899993,67.63581290600413,45.80792580856328,2.1466666666666665,37.521848818576785,
36,Argentina,29.93459033253044,44.67849303362752,0.67,4,29.340372329132403,60.49278471837161,52.55328356183191,0.0,20.58569574422807,
37,Lithuania,29.928268450175185,44.66905738832117,0.67,4,37.76847194357042,65.63230638019047,43.13474077059659,0.0,6.314930092483182,
38,United Arab Emirates,28.696303235985827,58.56388415507312,0.49,3,54.48794160411904,,61.28182935820601,0.0,64.53907248548629,
39,Philippines,28.68139005515595,42.80804485844172,0.67,4,32.09033696945325,68.71701031017449,37.31060416204911,0.0,20.882423007880607,
40,Luxembourg,28.316516387265317,42.26345729442584,0.67,4,35.672475354858385,56.70696974941407,40.73077458198439,0.0,26.010936925307387,
41,Ireland,28.07960268622675,36.467016475619154,0.77,5,42.45668810260307,13.643134721289412,36.453236313720424,0.0,51.54680964332194,56.86314582637388
42,Czechia,27.411384009152073,40.91251344649563,0.67,4,36.716871823169626,35.51185005505134,48.00612619427403,0.0,47.603828708104615,
43,Serbia,26.996651581192403,40.293509822675226,0.67,4,33.95512475848726,59.34897248674738,33.58388219851297,0.0,29.105100060756516,
44,Indonesia,25.953747788872256,38.7369369983168,0.67,4,37.790319853956255,26.61211279590144,48.91739274123515,0.0,41.7574142933579,
45,Romania,24.444100280509083,36.483731761953855,0.67,4,34.32649109344575,36.264741143283004,38.03727113737904,0.0,39.92838367873382,
46,Croatia,24.425974829832494,36.45667885049626,0.67,4,33.61549513880952,30.511850055051344,49.27696338021577,0.0,13.950018914753793,
47,Slovenia,24.312688731461307,36.28759512158404,0.67,4,35.531851451635596,52.73685969084594,26.248491062393686,0.0,24.56757268045202,
48,Chile,24.109360937298575,35.98412080193817,0.67,4,34.0266511168264,25.511850055051344,47.59849294808846,0.0,31.193924662161198,
49,Morocco,24.06884851362916,35.92365449795397,0.67,4,36.15451621527675,65.34818844275566,13.124245531196843,0.0,29.296940194178987,
50,Colombia,23.673351811872003,35.33336091324179,0.67,4,31.809731290467912,34.98093466332026,39.235820814789605,0.0,34.93524218635391,
51,Peru,23.621744052003272,35.25633440597503,0.67,4,31.133039312374745,65.19813443207508,18.20139675777573,0.0,20.650078375933155,
52,Ukraine,23.610974020296915,35.24025973178644,0.67,4,30.08126206215206,35.0421944701045,42.56533453180931,0.0,26.42255530013205,
53,Egypt,19.632137872079802,40.065587494040415,0.49,3,43.87851789279352,,32.18837721847183,0.0,57.94841895202853,
54,Thailand,19.21313234449742,28.6763169320857,0.67,4,35.903123517084865,5.0,38.69830974420077,0.0,38.016340540291566,
55,Pakistan,19.142744817450794,39.066826158062845,0.49,3,48.44822078449266,,22.64120871240902,0.0,70.06140656264846,
56,Vietnam,18.849681827472192,38.46873842341264,0.49,3,38.228593209534154,,36.19644801411015,0.0,49.52345516540887,
57,Slovakia,18.843354475045228,28.124409664246606,0.67,4,32.26158832102266,13.289223598507885,36.453484243094216,0.0,26.67956526416195,
58,Cyprus,18.470695375867674,37.695296685444234,0.49,3,39.3756641099064,,37.61859827961402,0.0,30.639153003463584,
59,Qatar,18.448089341136296,37.64916192068632,0.49,3,51.852941191980584,,22.966808133700447,0.0,39.754889789729425,
60,Jordan,18.351272045700384,27.38995827716475,0.67,4,43.99464404148653,26.61211279590144,8.047094304617957,0.0,42.23818612590268,
61,Estonia,18.344222640848034,37.43718906295517,0.49,3,35.67770998625119,,45.129493688888594,0.0,11.332756646345695,
62,Bulgaria,17.968094840953572,26.81805200142324,0.67,4,29.278001659623943,21.955306396618788,31.911937585038118,0.0,11.087061114730762,
63,Nigeria,17.905281483152375,36.541390781943626,0.49,3,37.8348723003943,,36.19644801411015,0.0,32.36782027922793,
64,Ghana,17.6977399140578,36.11783655930163,0.49,3,42.23207590177772,,33.73186260312847,0.0,19.71346885956874,
65,Bangladesh,17.201439187081206,35.10497793281879,0.49,3,43.678970326068956,,24.664704168108873,0.0,43.31661596724168,
66,Bahrain,16.96204280695407,34.616413891743,0.49,3,35.76879830205998,,38.47175206857592,0.0,12.582434508283471,
67,Kenya,16.470404367933472,24.582693086467867,0.67,4,31.529987466553205,5.0,38.39464839982091,0.0,3.7396895466234077,
68,Uruguay,16.45653839643865,26.54280386522363,0.62,3,25.72810957572884,16.61211279590144,35.48260902961838,0.0,0.0,
69,Iceland,15.608581111828546,31.854247166997034,0.49,3,33.23147575224088,,36.24858190605448,0.0,6.459368540071334,
70,Tunisia,15.569408426178489,23.237923024146998,0.67,4,44.04460429522087,0.0,18.20139675777573,0.0,37.50576389038475,
71,Iran,14.924656301131193,22.275606419598795,0.67,4,42.04551150717859,15.0,0.0,0.0,59.49287539103809,
72,Oman,14.115373874909547,21.067722201357533,0.67,4,40.19274539736954,10.0,10.154302453157772,0.0,24.78046695587073,
73,Sri Lanka,13.672498999792438,20.40671492506334,0.67,4,31.6844193932408,5.0,22.64120871240902,0.0,16.41721633098957,
74,Mauritius,13.072531538240508,29.71029895054661,0.44,2,23.120250543571156,,36.30034735752206,0.0,0.0,
75,Malta,12.991526392176311,29.526196345855254,0.44,2,26.597630447967745,,32.45476224374276,0.0,0.0,
76,Latvia,12.715717453289859,20.50922169885461,0.62,3,27.724101059289307,6.61211279590144,24.664704168108873,0.0,0.0,
77,Kuwait,12.684680512536016,25.887103086808196,0.49,3,39.64932604429726,,15.231453679736656,0.0,12.218179464971088,
78,Lebanon,12.64951074372288,25.81532804841404,0.49,3,40.129928292152,,8.047094304617957,0.0,41.01131544866978,
79,Ethiopia,11.6702409459614,23.81681825706408,0.49,3,46.350677027423636,,0.0,0.0,29.46183999856396,
80,Kazakhstan,11.607133340485015,23.688027225479622,0.49,3,32.03980206367679,,18.20139675777573,0.0,11.08139199530922,
81,Iraq,11.368391326477486,23.20079862546426,0.49,3,41.58335101208,,0.0,0.0,44.401082076397714,
82,Armenia,11.208893076705593,25.47475699251271,0.44,2,26.541846045900613,,24.40766793912481,0.0,0.0,
83,Nicaragua,10.668951020975355,48.495231913524336,0.22,1,48.495231913524336,,,0.0,0.0,
84,Albania,10.444809275427902,23.73820289869978,0.44,2,25.533323269256435,,21.943082528143123,0.0,0.0,
85,Seychelles,10.28714094946022,23.379865794227772,0.44,2,16.07142857142857,,30.688303017026975,0.0,0.0,
86,Botswana,10.119514388498725,22.998896337497104,0.44,2,35.84349022183644,,10.154302453157772,0.0,0.0,
87,Yemen,10.055416349966336,37.242282777653095,0.27,2,40.033723444772825,,,0.0,24.959943842326272,
88,Belarus,9.939574006936361,13.804963898522722,0.7200000000000001,4,21.32612815291121,,17.564057485830137,5.63236111111111,1.76580221715419,
89,Gabon,9.905945527022912,45.02702512283142,0.22,1,45.02702512283142,,,0.0,0.0,
90,Belize,9.665111906493209,21.9661634238482,0.44,2,18.779122973703085,,25.15320387399332,0.0,0.0,
91,Liechtenstein,9.454253483635249,42.97387947106931,0.22,1,42.97387947106931,,,0.0,0.0,
92,Georgia,9.360858743024158,21.27467896141854,0.44,2,30.760577847851735,,11.788780074985347,0.0,0.0,
93,Algeria,9.108170824424016,18.58810372331432,0.49,3,33.348931289294,,0.0,0.0,35.428118815586714,
94,Antigua and Barbuda,9.0947179911899,41.33962723268136,0.22,1,41.33962723268136,,,0.0,0.0,
95,Angola,8.83859025063117,40.175410230141686,0.22,1,40.175410230141686,,,0.0,0.0,
96,Rwanda,8.79452689993978,32.572321851628814,0.27,2,39.09753579215829,,,0.0,3.861380513299162,
97,Senegal,8.708291012590475,19.79157048316017,0.44,2,26.4588954351235,,13.124245531196843,0.0,0.0,
98,Barbados,8.702510946378979,19.778433969043135,0.44,2,17.989497552787977,,21.567370385298297,0.0,0.0,
99,Afghanistan,8.669865620989018,39.40848009540463,0.22,1,39.40848009540463,,,0.0,0.0,
100,Namibia,8.475612312768614,38.52551051258461,0.22,1,38.52551051258461,,,0.0,0.0,
101,Nepal,8.373777516119587,31.01399080044291,0.27,2,35.445636726338854,,,0.0,11.514748726500779,
102,Brunei,8.247273079172514,30.545455848787086,0.27,2,37.10802282774529,,,0.0,1.6701611413710065,
103,Eritrea,7.733452964380491,35.15205892900223,0.22,1,35.15205892900223,,,0.0,0.0,
104,Malawi,7.706928441312453,35.0314929150566,0.22,1,35.0314929150566,,,0.0,0.0,
105,Tanzania,7.695429570270027,17.489612659704605,0.44,2,34.97922531940921,,0.0,0.0,0.0,
106,Uganda,7.691574879974374,17.48085199994176,0.44,2,34.96170399988352,,0.0,0.0,0.0,
107,Uzbekistan,7.539687701838848,15.387117758854792,0.49,3,31.98701250328664,,0.0,0.0,10.050899022315743,
108,Zambia,7.532170548202474,17.118569427732897,0.44,2,29.159987628886906,,5.077151226578886,0.0,0.0,
109,Togo,7.468246055107347,33.94657297776067,0.22,1,33.94657297776067,,,0.0,0.0,
110,Saint Lucia,7.46479827843031,33.93090126559232,0.22,1,33.93090126559232,,,0.0,0.0,
111,Grenada,7.460766027435203,33.9125728519782,0.22,1,33.9125728519782,,,0.0,0.0,
112,Ecuador,7.457907513380739,15.220219415062733,0.49,3,28.360293749795368,,0.0,0.0,24.37285776851517,
113,Panama,7.434202670726715,11.990649468914057,0.62,3,20.334825547493203,6.61211279590144,8.047094304617957,0.0,0.0,
114,Monaco,7.4018600681860685,33.644818491754855,0.22,1,33.644818491754855,,,0.0,0.0,
115,Cambodia,7.401036554432793,16.820537623710894,0.44,2,33.64107524742179,,0.0,0.0,0.0,
116,North Macedonia,7.276274917561293,16.536988449002937,0.44,2,27.99682567142699,,5.077151226578886,0.0,0.0,
117,Bhutan,7.215749315289429,32.79886052404286,0.22,1,32.79886052404286,,,0.0,0.0,
118,Cuba,7.083571990322141,17.70892997580535,0.4,2,15.834418137827914,20.0,,0.0,0.0,
119,Côte d'Ivoire,7.051084706598415,16.025192514996398,0.44,2,26.97323380341391,,5.077151226578886,0.0,0.0,
120,Madagascar,6.916710544865868,15.719796692876972,0.44,2,18.315347854557103,,13.124245531196843,0.0,0.0,
121,Zimbabwe,6.891553822645336,15.662622324193945,0.44,2,26.248093421809003,,5.077151226578886,0.0,0.0,
122,Dominican Republic,6.879547186147245,15.63533451397101,0.44,2,23.223574723324063,,8.047094304617957,0.0,0.0,
123,Costa Rica,6.851988745467001,11.051594750753228,0.62,3,21.644583828203373,11.612112795901439,0.0,0.0,0.0,
124,Libya,6.851029812858538,31.141044603902447,0.22,1,31.141044603902447,,,0.0,0.0,
125,Sudan,6.833953451028064,25.310938707511347,0.27,2,29.50760245196834,,,0.0,6.8456182319005965,
126,Syria,6.805487346479022,30.934033393086462,0.22,1,30.934033393086462,,,0.0,0.0,
127,San Marino,6.797425150747118,16.993562876867795,0.4,2,12.278902935420442,22.755925027525674,,0.0,0.0,
128,Saint Kitts and Nevis,6.718381894519716,15.269049760272082,0.44,2,18.749319445558815,,11.788780074985347,0.0,0.0,
129,Bolivia,6.678587855906243,30.357217526846558,0.22,1,30.357217526846558,,,0.0,0.0,
130,Swaziland,6.641395174354634,30.188159883430153,0.22,1,30.188159883430153,,,0.0,0.0,
131,Guatemala,6.476319340487208,14.718907592016382,0.44,2,16.313569652835923,,13.124245531196843,0.0,0.0,
132,Azerbaijan,6.438474251011359,10.384635888727997,0.62,3,25.174882959142543,5.0,0.0,0.0,0.0,
133,Kosovo,6.262970108371858,28.46804594714481,0.22,1,28.46804594714481,,,0.0,0.0,
134,Fiji,6.139421716422649,27.906462347375676,0.22,1,27.906462347375676,,,0.0,0.0,
135,Cameroon,6.135913161947347,27.89051437248794,0.22,1,27.89051437248794,,,0.0,0.0,
136,Gambia,5.995349139910619,27.251586999593723,0.22,1,27.251586999593723,,,0.0,0.0,
137,Honduras,5.959373482669498,12.161986699325507,0.49,3,20.956919866032447,,5.077151226578886,0.0,4.637556845900096,
138,El Salvador,5.870956594846429,13.343083170105519,0.44,2,21.609015113632154,,5.077151226578886,0.0,0.0,
139,Tajikistan,5.766208840459864,13.105020091954236,0.44,2,14.421260108923125,,11.788780074985347,0.0,0.0,
140,Maldives,5.564635057740753,25.29379571700342,0.22,1,25.29379571700342,,,0.0,0.0,
141,Dominica,5.559003705475613,25.268198661252786,0.22,1,25.268198661252786,,,0.0,0.0,
142,Guinea,5.48827439295192,24.94670178614509,0.22,1,24.94670178614509,,,0.0,0.0,
143,Bosnia and Herzegovina,5.397307036506248,11.014912319400507,0.49,3,24.170073616816705,,0.0,0.0,1.5978168161314774,
144,Burundi,5.39650881222315,24.52958551010523,0.22,1,24.52958551010523,,,0.0,0.0,
145,Tonga,5.3688243539003535,24.403747063183424,0.22,1,24.403747063183424,,,0.0,0.0,
146,Papua New Guinea,5.303316668361947,24.105984856190666,0.22,1,24.105984856190666,,,0.0,0.0,
147,Venezuela,5.290347379000994,10.79662730408366,0.49,3,18.643279334367346,,5.077151226578886,0.0,1.4370531118564494,
148,Mongolia,5.284597354984839,12.01044853405645,0.44,2,24.0208970681129,,0.0,0.0,0.0,
149,Mali,5.236653232032594,23.80296923651179,0.22,1,23.80296923651179,,,0.0,0.0,
150,Comoros,5.234330586933878,23.792411758790355,0.22,1,23.792411758790355,,,0.0,0.0,
151,Benin,5.138851223445872,23.358414652026692,0.22,1,23.358414652026692,,,0.0,0.0,
152,Trinidad and Tobago,5.11310370502329,11.620690238689296,0.44,2,23.24138047737859,,0.0,0.0,0.0,
153,Kyrgyzstan,5.033920476205365,22.881456710024388,0.22,1,22.881456710024388,,,0.0,0.0,
154,Mozambique,5.032028102987937,22.872855013581532,0.22,1,22.872855013581532,,,0.0,0.0,
155,Montenegro,4.945004390134247,22.477292682428395,0.22,1,22.477292682428395,,,0.0,0.0,
156,Burkina Faso,4.698904346334338,10.679328059850768,0.44,2,21.358656119701536,,0.0,0.0,0.0,
157,Mauritania,4.500590169524733,20.45722804329424,0.22,1,20.45722804329424,,,0.0,0.0,
158,Paraguay,4.259144337933437,9.679873495303266,0.44,2,19.35974699060653,,0.0,0.0,0.0,
159,Somalia,4.134846263879485,18.794755744906748,0.22,1,18.794755744906748,,,0.0,0.0,
160,Myanmar,4.131054360589557,18.777519820861624,0.22,1,18.777519820861624,,,0.0,0.0,
161,Moldova,4.011327601742957,18.233307280649807,0.22,1,18.233307280649807,,,0.0,0.0,
162,São Tomé and Príncipe,3.977678571428571,18.080357142857142,0.22,1,18.080357142857142,,,0.0,0.0,
163,Liberia,3.940931447166598,17.913324759848173,0.22,1,17.913324759848173,,,0.0,0.0,
164,Congo,3.927397441325804,17.851806551480927,0.22,1,17.851806551480927,,,0.0,0.0,
165,Haiti,3.8053130325665587,17.296877420757085,0.22,1,17.296877420757085,,,0.0,0.0,
166,Vatican City,3.6867856843629294,16.758116747104225,0.22,1,16.758116747104225,,,0.0,0.0,
167,Chad,3.573433458533906,16.2428793569723,0.22,1,16.2428793569723,,,0.0,0.0,
168,Niger,3.547840450565266,16.12654750256939,0.22,1,16.12654750256939,,,0.0,0.0,
169,North Korea,3.5432342349038284,16.105610158653764,0.22,1,16.105610158653764,,,0.0,0.0,
170,Bahamas,3.454006016789808,15.700027349044582,0.22,1,15.700027349044582,,,0.0,0.0,
171,Jamaica,3.2555743320053336,7.399032572739395,0.44,2,14.79806514547879,,0.0,0.0,0.0,
172,Timor-Leste,3.1832610161794332,14.46936825536106,0.22,1,14.46936825536106,,,0.0,0.0,
173,Djibouti,3.017709062618471,13.716859375538503,0.22,1,13.716859375538503,,,0.0,0.0,
174,Sierra Leone,2.8894794605361427,13.133997547891557,0.22,1,13.133997547891557,,,0.0,0.0,
175,Lesotho,2.281230879511567,10.369231270507123,0.22,1,10.369231270507123,,,0.0,0.0,
176,Laos,1.9704649171903423,8.956658714501556,0.22,1,8.956658714501556,,,0.0,0.0,
177,Samoa,1.6568000957439788,7.530909526108995,0.22,1,7.530909526108994,,,0.0,0.0,
178,Guyana,1.4776341583624488,6.716518901647494,0.22,1,6.716518901647495,,,0.0,0.0,
179,Turkmenistan,1.4298287902719513,6.499221773963415,0.22,1,6.499221773963415,,,0.0,0.0,
180,Equatorial Guinea,0.9491814967574957,4.314461348897708,0.22,1,4.314461348897708,,,0.0,0.0,
181,Suriname,0.8839285714285713,4.017857142857142,0.22,1,4.017857142857142,,,0.0,0.0,
182,Saint Vincent and the Grenadines,0.44196428571428564,2.008928571428571,0.22,1,2.008928571428571,,,0.0,0.0,
183,South Sudan,0.0,0.0,0.22,1,0.0,,,0.0,0.0,
184,Bermuda,0.0,0.0,0.32,2,,,0.0,0.0,0.0,0.0
185,Andorra,0.0,0.0,0.22,1,0.0,,,0.0,0.0,
